сар,үзүүлэлт,утга
2021-01,АИ-92,1446.0
2021-01,Дизель,2083.6
2021-01,Дизель Евро-5,1976.5
2021-02,АИ-92,1488.5
2021-02,АИ-92 Евро-5,1556.5
2021-03,АИ-92,1488.5
2021-03,Дизель,2183.6
2021-03,Дизель Евро-5,2113.3
2021-04,АИ-92,1519.5
2021-04,Дизель,2183.6
2021-04,Дизель Евро-5,2125.2
2021-05,АИ-92,1533.0
2021-05,АИ-92 Евро-5,1557.1
2021-06,АИ-92,1533.0
2021-06,АИ-92 Евро-5,1558.6
2021-07,АИ-92,1830.5
2021-07,АИ-92 Евро-5,1558.6
2021-07,Дизель Евро-5,104.3
2021-08,АИ-92,1867.0
2021-08,Дизель,2533.6
2021-08,Дизель Евро-5,2035.7
2021-09,АИ-92,2132.0
2021-09,Дизель,2621.3
2021-09,Дизель Евро-5,2452.4
2021-10,АИ-92,2178.5
2021-10,АИ-92 Евро-5,2178.1
2021-11,АИ-92,2178.5
2021-11,Дизель,2779.3
2021-11,Дизель Евро-5,2548.6
2021-12,АИ-92,2401.0
2021-12,АИ-92 Евро-5,2331.9
2022-01,АИ-92,2401.0
2022-01,АИ-92 Евро-5,2430.5
2022-02,АИ-92,2449.5
2022-02,АИ-92 Евро-5,2449.8
2022-03,АИ-92,2546.2
2022-03,АИ-92 Евро-5,2496.2
2022-04,АИ-92,2541.4
2022-04,АИ-92 Евро-5,2490.5
2022-05,АИ-92,2541.4
2022-05,АИ-92 Евро-5,2586.6
2022-06,АИ-92,3001.4
2022-06,АИ-92 Евро-5,2586.6
2022-07,АИ-92,3001.4
2022-07,Дизель,4338.2
2022-07,Дизель Евро-5,3742.0
2022-08,АИ-92,3002.7
2022-08,Дизель,4028.4
2022-08,Дизель Евро-5,4046.9
2022-09,АИ-92,2548.2
2022-09,АИ-92 Евро-5,2583.4
2022-10,АИ-92,2556.4
2022-10,АИ-92 Евро-5,2577.5
2022-11,АИ-92,2556.4
2022-11,АИ-92 Евро-5,2575.5
2022-12,АИ-92,2395.0
2022-12,АИ-92 Евро-5,2434.3
2022-12,Дизель,4050.0
2022-12,Дизель Евро-5,2883.2
2023-01,АИ-92,2556.4
2023-01,АИ-92 Евро-5,2443.0
2023-02,АИ-92,2556.4
2023-02,АИ-92 Евро-5,2443.0
2023-03,АИ-92,2556.4
2023-03,АИ-92 Евро-5,2443.0
2023-04,АИ-92,2556.4
2023-04,АИ-92 Евро-5,2586.6
2023-05,АИ-92,2556.4
2023-05,АИ-92 Евро-5,2586.6
2023-06,АИ-92,2556.4
2023-06,АИ-92 Евро-5,2584.3
2023-07,АИ-92,2556.4
2023-07,АИ-92 Евро-5,2584.3
2023-09,АИ-92,2558.2
2023-09,АИ-92 Евро-5,2577.5
2023-10,АИ-92,2558.2
2023-10,АИ-92 Евро-5,2575.5
2023-11,АИ-92 Евро-5,2580.0
2023-11,АИ-95,4052.4
2023-11,Дизель Евро-5,3969.5
2023-12,АИ-92,2558.2
2023-12,АИ-92 Евро-5,2575.5
2023-12,АИ-95,3868.4
2024-01,АИ-92,2558.2
2024-01,АИ-92 Евро-5,2581.4
2024-01,АИ-95,4058.6
2024-02,АИ-92,2558.2
2024-02,АИ-92 Евро-5,2581.4
2024-02,АИ-95,4058.6
2024-03,АИ-92,2558.2
2024-03,АИ-92 Евро-5,2575.5
2024-03,АИ-95,3851.0
2024-04,АИ-92,2565.2
2024-04,АИ-92 Евро-5,2575.5
2024-04,АИ-95,3829.5
2024-05,АИ-92,2558.2
2024-05,АИ-92 Евро-5,2575.5
2024-05,АИ-95,3381.4
2024-06,АИ-92,2558.2
2024-06,АИ-92 Евро-5,2576.8
2024-06,АИ-95,3856.7
2024-07,АИ-92,2558.2
2024-07,АИ-92 Евро-5,2576.8
2024-07,АИ-95,3856.7
2024-08,АИ-92,2558.2
2024-08,АИ-92 Евро-5,2584.5
2024-08,АИ-95,3852.9
2024-09,АИ-92,2558.2
2024-09,АИ-92 Евро-5,2580.5
2024-09,АИ-95,3854.3
2024-10,АИ-92,2558.2
2024-10,АИ-92 Евро-5,2580.0
2024-10,АИ-95,3855.2
2024-11,АИ-92,2558.2
2024-11,АИ-92 Евро-5,2580.0
2024-11,АИ-95,4058.6
2024-12,АИ-92,2558.2
2024-12,АИ-92 Евро-5,2581.4
2024-12,АИ-95,4058.6
2025-01,АИ-92,2558.2
2025-01,АИ-92 Евро-5,2581.4
2025-01,АИ-95,4069.5
2025-02,АИ-92,2558.2
2025-02,АИ-92 Евро-5,2581.4
2025-02,АИ-95,4069.5
2025-03,АИ-92,2558.2
2025-03,АИ-92 Евро-5,2581.4
2025-03,АИ-95,4069.5
2025-04,АИ-92,2558.2
2025-04,АИ-92 Евро-5,2587.0
2025-04,АИ-95,4068.9
2025-05,АИ-92,2558.2
2025-05,АИ-92 Евро-5,2587.0
2025-05,АИ-95,4068.9
2025-06,АИ-92,2558.2
2025-06,АИ-92 Евро-5,2587.0
2025-06,АИ-95,4068.9
2025-07,АИ-92,2558.2
2025-07,АИ-92 Евро-5,2587.0
2025-07,АИ-95,4068.9
2025-08,АИ-92,2558.2
2025-08,АИ-92 Евро-5,2581.4
2025-08,АИ-95,4069.5
2025-09,АИ-92,2558.2
2025-09,АИ-92 Евро-5,2581.4
2025-09,АИ-95,4069.5
2025-10,АИ-92,2799.5
2025-10,АИ-92 Евро-5,2359.0
2025-10,АИ-95,3758.2
2025-10,Дизель,3136.4
2025-10,Дизель Евро-5,3630.0
2025-11,АИ-92,2810.5
2025-11,АИ-92 Евро-5,3113.1
2025-11,АИ-95,3758.6
2025-11,Дизель,3437.3
2025-11,Дизель Евро-5,3993.0
2025-12,АИ-92,2838.6
2025-12,АИ-92 Евро-5,3113.1
2025-12,АИ-95,3769.2
2025-12,Дизель,3688.9
2025-12,Дизель Евро-5,4191.2
2026-01,АИ-92,2847.7
2026-01,АИ-92 Евро-5,3214.4
2026-01,АИ-95,3769.2
2026-01,Дизель,3688.9
2026-01,Дизель Евро-5,4191.2
2026-02,АИ-92,2843.2
2026-02,АИ-92 Евро-5,3203.8
2026-02,АИ-95,3758.2
2026-02,Дизель,3440.9
2026-03,АИ-92,2834.1
2026-03,АИ-92 Евро-5,3204.4
2026-03,АИ-95,3945.5
2026-03,Дизель,3815.9
2026-03,Дизель Евро-5,4173.5
2026-04,АИ-92,2798.2
2026-04,АИ-92 Евро-5,3203.8
2026-04,АИ-95,4040.9
2026-04,Дизель,4513.6
2026-04,Дизель Евро-5,4852.6
2026-05,АИ-92,2795.9
2026-05,АИ-92 Евро-5,3209.4
2026-05,АИ-95,4040.9
2026-05,Дизель,4602.3
2026-05,Дизель Евро-5,5078.9
2026-06,АИ-92,2795.9
2026-06,АИ-92 Евро-5,3203.8
2026-06,АИ-95,4063.6
2026-06,Дизель,4619.5
2026-06,Дизель Евро-5,5139.5
2026-07,АИ-92,3076.1
2026-07,АИ-92 Евро-5,3508.7
2026-07,АИ-95,4094.1
2026-07,Дизель,4492.3
2026-07,Дизель Евро-5,5131.5
