region,date,price
Arkhangai,2024-01-02,12833.0
Bayan-Ulgii,2024-01-02,9500.0
Bayankhongor,2024-01-02,13500.0
Bulgan,2024-01-02,14000.0
Darkhan-Uul,2024-01-02,13000.0
Dornod,2024-01-02,13000.0
Dornogovi,2024-01-02,16333.0
Dundgovi,2024-01-02,13000.0
Govi-Altai,2024-01-02,12000.0
Govisumber,2024-01-02,9700.0
Khentii,2024-01-02,15000.0
Khovd,2024-01-02,13000.0
Khuvsgul,2024-01-02,15000.0
Orkhon,2024-01-02,14000.0
Selenge,2024-01-02,11500.0
Sukhbaatar,2024-01-02,14000.0
Tuv,2024-01-02,13000.0
Umnugovi,2024-01-02,15000.0
Uvs,2024-01-02,10000.0
Uvurkhangai,2024-01-02,15000.0
Zavkhan,2024-01-02,10000.0
Arkhangai,2024-01-08,12833.0
Bayan-Ulgii,2024-01-08,9500.0
Bayankhongor,2024-01-08,14000.0
Bulgan,2024-01-08,14000.0
Darkhan-Uul,2024-01-08,13667.0
Dornod,2024-01-08,13165.0
Dornogovi,2024-01-08,16333.0
Dundgovi,2024-01-08,14000.0
Govi-Altai,2024-01-08,12000.0
Govisumber,2024-01-08,9700.0
Khentii,2024-01-08,15000.0
Khovd,2024-01-08,13000.0
Khuvsgul,2024-01-08,14000.0
Orkhon,2024-01-08,14100.0
Selenge,2024-01-08,11500.0
Sukhbaatar,2024-01-08,14000.0
Tuv,2024-01-08,13000.0
Umnugovi,2024-01-08,15000.0
Uvs,2024-01-08,10000.0
Uvurkhangai,2024-01-08,15000.0
Zavkhan,2024-01-08,12000.0
Arkhangai,2024-01-15,12833.0
Bayan-Ulgii,2024-01-15,10000.0
Bayankhongor,2024-01-15,14000.0
Bulgan,2024-01-15,14000.0
Darkhan-Uul,2024-01-15,13833.0
Dornod,2024-01-15,14000.0
Dornogovi,2024-01-15,16333.0
Dundgovi,2024-01-15,14000.0
Govi-Altai,2024-01-15,12000.0
Govisumber,2024-01-15,9700.0
Khentii,2024-01-15,15000.0
Khovd,2024-01-15,13000.0
Khuvsgul,2024-01-15,14000.0
Orkhon,2024-01-15,13833.0
Selenge,2024-01-15,12500.0
Sukhbaatar,2024-01-15,14000.0
Tuv,2024-01-15,13000.0
Umnugovi,2024-01-15,15500.0
Uvs,2024-01-15,10000.0
Uvurkhangai,2024-01-15,15000.0
Zavkhan,2024-01-15,12000.0
Arkhangai,2024-01-22,12667.0
Bayan-Ulgii,2024-01-22,9667.0
Bayankhongor,2024-01-22,14000.0
Bulgan,2024-01-22,14000.0
Darkhan-Uul,2024-01-22,14667.0
Dornod,2024-01-22,14000.0
Dornogovi,2024-01-22,16333.0
Dundgovi,2024-01-22,14000.0
Govi-Altai,2024-01-22,12333.0
Govisumber,2024-01-22,13000.0
Khentii,2024-01-22,15000.0
Khovd,2024-01-22,13000.0
Khuvsgul,2024-01-22,14000.0
Orkhon,2024-01-22,13833.0
Selenge,2024-01-22,12500.0
Sukhbaatar,2024-01-22,14000.0
Tuv,2024-01-22,13000.0
Umnugovi,2024-01-22,15500.0
Uvs,2024-01-22,10000.0
Uvurkhangai,2024-01-22,15000.0
Zavkhan,2024-01-22,12000.0
Arkhangai,2024-01-29,12833.0
Bayan-Ulgii,2024-01-29,10000.0
Bayankhongor,2024-01-29,14000.0
Bulgan,2024-01-29,14000.0
Darkhan-Uul,2024-01-29,14500.0
Dornod,2024-01-29,15326.0
Dornogovi,2024-01-29,16333.0
Dundgovi,2024-01-29,14000.0
Govi-Altai,2024-01-29,12333.0
Govisumber,2024-01-29,13000.0
Khentii,2024-01-29,15000.0
Khovd,2024-01-29,15000.0
Khuvsgul,2024-01-29,14000.0
Orkhon,2024-01-29,13833.0
Selenge,2024-01-29,12500.0
Sukhbaatar,2024-01-29,14000.0
Tuv,2024-01-29,13000.0
Umnugovi,2024-01-29,17000.0
Uvs,2024-01-29,10000.0
Uvurkhangai,2024-01-29,15000.0
Zavkhan,2024-01-29,12000.0
Arkhangai,2024-02-05,12833.0
Bayan-Ulgii,2024-02-05,10000.0
Bayankhongor,2024-02-05,14000.0
Bulgan,2024-02-05,14000.0
Darkhan-Uul,2024-02-05,15500.0
Dornod,2024-02-05,15326.0
Dornogovi,2024-02-05,16667.0
Dundgovi,2024-02-05,15000.0
Govi-Altai,2024-02-05,12667.0
Govisumber,2024-02-05,13000.0
Khentii,2024-02-05,15000.0
Khovd,2024-02-05,14000.0
Khuvsgul,2024-02-05,14000.0
Orkhon,2024-02-05,15000.0
Selenge,2024-02-05,13000.0
Sukhbaatar,2024-02-05,14000.0
Tuv,2024-02-05,13000.0
Umnugovi,2024-02-05,17000.0
Uvs,2024-02-05,10000.0
Uvurkhangai,2024-02-05,15000.0
Zavkhan,2024-02-05,12000.0
Arkhangai,2024-02-19,13333.0
Bayan-Ulgii,2024-02-19,10000.0
Bayankhongor,2024-02-19,14000.0
Bulgan,2024-02-19,14000.0
Darkhan-Uul,2024-02-19,14667.0
Dornod,2024-02-19,15660.0
Dornogovi,2024-02-19,16667.0
Dundgovi,2024-02-19,14000.0
Govi-Altai,2024-02-19,12667.0
Govisumber,2024-02-19,13000.0
