region,date,price
Arkhangai,2024-01-02,2600.0
Bayan-Ulgii,2024-01-02,2300.0
Bayankhongor,2024-01-02,2700.0
Bulgan,2024-01-02,2700.0
Darkhan-Uul,2024-01-02,2450.0
Dornod,2024-01-02,2573.0
Dornogovi,2024-01-02,2600.0
Dundgovi,2024-01-02,2882.0
Govi-Altai,2024-01-02,2700.0
Govisumber,2024-01-02,2720.0
Khentii,2024-01-02,2379.0
Khovd,2024-01-02,2800.0
Khuvsgul,2024-01-02,2640.0
Orkhon,2024-01-02,2367.0
Selenge,2024-01-02,2483.0
Sukhbaatar,2024-01-02,2583.0
Tuv,2024-01-02,2600.0
Umnugovi,2024-01-02,2730.0
Uvs,2024-01-02,2866.0
Uvurkhangai,2024-01-02,2583.0
Zavkhan,2024-01-02,2500.0
Arkhangai,2024-01-08,2600.0
Bayan-Ulgii,2024-01-08,2300.0
Bayankhongor,2024-01-08,2700.0
Bulgan,2024-01-08,2700.0
Darkhan-Uul,2024-01-08,2450.0
Dornod,2024-01-08,2573.0
Dornogovi,2024-01-08,2600.0
Dundgovi,2024-01-08,2882.0
Govi-Altai,2024-01-08,2700.0
Govisumber,2024-01-08,2720.0
Khentii,2024-01-08,2379.0
Khovd,2024-01-08,2800.0
Khuvsgul,2024-01-08,2640.0
Orkhon,2024-01-08,2367.0
Selenge,2024-01-08,2483.0
Sukhbaatar,2024-01-08,2583.0
Tuv,2024-01-08,2600.0
Umnugovi,2024-01-08,2730.0
Uvs,2024-01-08,2900.0
Uvurkhangai,2024-01-08,2583.0
Zavkhan,2024-01-08,2500.0
Arkhangai,2024-01-15,2600.0
Bayan-Ulgii,2024-01-15,2300.0
Bayankhongor,2024-01-15,2700.0
Bulgan,2024-01-15,2700.0
Darkhan-Uul,2024-01-15,2450.0
Dornod,2024-01-15,2579.0
Dornogovi,2024-01-15,2733.0
Dundgovi,2024-01-15,2882.0
Govi-Altai,2024-01-15,2700.0
Govisumber,2024-01-15,2720.0
Khentii,2024-01-15,2379.0
Khovd,2024-01-15,2800.0
Khuvsgul,2024-01-15,2640.0
Orkhon,2024-01-15,2367.0
Selenge,2024-01-15,2483.0
Sukhbaatar,2024-01-15,2583.0
Tuv,2024-01-15,2600.0
Umnugovi,2024-01-15,2730.0
Uvs,2024-01-15,2900.0
Uvurkhangai,2024-01-15,2583.0
Zavkhan,2024-01-15,2500.0
Arkhangai,2024-01-22,2600.0
Bayankhongor,2024-01-22,2750.0
Bulgan,2024-01-22,2700.0
Darkhan-Uul,2024-01-22,2483.0
Dornod,2024-01-22,2579.0
Dornogovi,2024-01-22,2767.0
Dundgovi,2024-01-22,2882.0
Govi-Altai,2024-01-22,2800.0
Govisumber,2024-01-22,2720.0
Khentii,2024-01-22,2483.0
Khovd,2024-01-22,2800.0
Khuvsgul,2024-01-22,2640.0
Orkhon,2024-01-22,2567.0
Selenge,2024-01-22,2483.0
Sukhbaatar,2024-01-22,2583.0
Tuv,2024-01-22,2600.0
Umnugovi,2024-01-22,2730.0
Uvs,2024-01-22,2900.0
Uvurkhangai,2024-01-22,2583.0
Zavkhan,2024-01-22,2500.0
Arkhangai,2024-01-29,2600.0
Bayankhongor,2024-01-29,2750.0
Bulgan,2024-01-29,2700.0
Darkhan-Uul,2024-01-29,2483.0
Dornod,2024-01-29,2579.0
Dornogovi,2024-01-29,2767.0
Dundgovi,2024-01-29,2882.0
Govi-Altai,2024-01-29,2800.0
Govisumber,2024-01-29,2720.0
Khentii,2024-01-29,2483.0
Khovd,2024-01-29,2800.0
Khuvsgul,2024-01-29,2640.0
Orkhon,2024-01-29,2567.0
Selenge,2024-01-29,2483.0
Sukhbaatar,2024-01-29,2583.0
Tuv,2024-01-29,2600.0
Umnugovi,2024-01-29,2747.0
Uvs,2024-01-29,2900.0
Uvurkhangai,2024-01-29,2583.0
Zavkhan,2024-01-29,2500.0
Arkhangai,2024-02-05,2600.0
Bayankhongor,2024-02-05,2750.0
Bulgan,2024-02-05,2700.0
Darkhan-Uul,2024-02-05,2516.0
Dornod,2024-02-05,2579.0
Dornogovi,2024-02-05,2767.0
Dundgovi,2024-02-05,2882.0
Govi-Altai,2024-02-05,2800.0
Govisumber,2024-02-05,2720.0
Khentii,2024-02-05,2483.0
Khovd,2024-02-05,2800.0
Khuvsgul,2024-02-05,2640.0
Orkhon,2024-02-05,2567.0
Selenge,2024-02-05,2367.0
Sukhbaatar,2024-02-05,2583.0
Tuv,2024-02-05,2600.0
Umnugovi,2024-02-05,2747.0
Uvs,2024-02-05,2900.0
Uvurkhangai,2024-02-05,2583.0
Zavkhan,2024-02-05,2600.0
Arkhangai,2024-02-19,2600.0
Bayankhongor,2024-02-19,2750.0
Bulgan,2024-02-19,2700.0
Darkhan-Uul,2024-02-19,2516.0
Dornod,2024-02-19,2579.0
Dornogovi,2024-02-19,2767.0
Dundgovi,2024-02-19,2882.0
Govi-Altai,2024-02-19,2800.0
Govisumber,2024-02-19,2720.0
Khentii,2024-02-19,2483.0
Khovd,2024-02-19,2800.0
Khuvsgul,2024-02-19,2640.0
Orkhon,2024-02-19,2567.0
Selenge,2024-02-19,2450.0
Sukhbaatar,2024-02-19,2583.0
Tuv,2024-02-19,2600.0
Umnugovi,2024-02-19,2827.0
Uvs,2024-02-19,2900.0
Uvurkhangai,2024-02-19,2583.0
Zavkhan,2024-02-19,2500.0
Arkhangai,2024-02-26,2600.0
Bayankhongor,2024-02-26,2750.0
Bulgan,2024-02-26,2700.0
Darkhan-Uul,2024-02-26,2516.0
Dornod,2024-02-26,2579.0
Dornogovi,2024-02-26,2767.0
Dundgovi,2024-02-26,2882.0
Govi-Altai,2024-02-26,2800.0
Govisumber,2024-02-26,2720.0
Khentii,2024-02-26,2483.0
Khovd,2024-02-26,2800.0
Khuvsgul,2024-02-26,2640.0
Orkhon,2024-02-26,2567.0
Selenge,2024-02-26,2450.0
Sukhbaatar,2024-02-26,2583.0
Tuv,2024-02-26,2600.0
Umnugovi,2024-02-26,2827.0
Uvs,2024-02-26,2900.0
Uvurkhangai,2024-02-26,2583.0
Zavkhan,2024-02-26,2500.0
Arkhangai,2024-03-04,2600.0
Bayankhongor,2024-03-04,2700.0
Bulgan,2024-03-04,2700.0
Darkhan-Uul,2024-03-04,2516.0
Dornod,2024-03-04,2579.0
Dornogovi,2024-03-04,2800.0
Dundgovi,2024-03-04,2882.0
Govi-Altai,2024-03-04,2800.0
Govisumber,2024-03-04,2750.0
Khentii,2024-03-04,2483.0
Khovd,2024-03-04,2800.0
Khuvsgul,2024-03-04,2640.0
Orkhon,2024-03-04,2567.0
Selenge,2024-03-04,2383.0
Sukhbaatar,2024-03-04,2583.0
Tuv,2024-03-04,2600.0
Umnugovi,2024-03-04,2827.0
Uvs,2024-03-04,2900.0
Uvurkhangai,2024-03-04,2583.0
Zavkhan,2024-03-04,2500.0
Arkhangai,2024-03-11,2800.0
Bayankhongor,2024-03-11,2700.0
Bulgan,2024-03-11,2700.0
Darkhan-Uul,2024-03-11,2516.0
Dornod,2024-03-11,2579.0
Dornogovi,2024-03-11,2800.0
Dundgovi,2024-03-11,2882.0
Govi-Altai,2024-03-11,2800.0
Govisumber,2024-03-11,2750.0
Khentii,2024-03-11,2483.0
Khovd,2024-03-11,2800.0
Khuvsgul,2024-03-11,2640.0
Orkhon,2024-03-11,2567.0
Selenge,2024-03-11,2383.0
Sukhbaatar,2024-03-11,2583.0
Tuv,2024-03-11,2600.0
Umnugovi,2024-03-11,2827.0
Uvs,2024-03-11,2900.0
Uvurkhangai,2024-03-11,2583.0
Zavkhan,2024-03-11,2500.0
Arkhangai,2024-03-18,2657.0
Bayankhongor,2024-03-18,2700.0
Bulgan,2024-03-18,2800.0
Darkhan-Uul,2024-03-18,2516.0
Dornod,2024-03-18,2579.0
Dornogovi,2024-03-18,2767.0
Dundgovi,2024-03-18,2932.0
Govi-Altai,2024-03-18,2800.0
Govisumber,2024-03-18,2750.0
Khentii,2024-03-18,2483.0
Khovd,2024-03-18,2800.0
Khuvsgul,2024-03-18,2640.0
Orkhon,2024-03-18,2567.0
Selenge,2024-03-18,2383.0
Sukhbaatar,2024-03-18,2583.0
Tuv,2024-03-18,2600.0
Umnugovi,2024-03-18,2827.0
Uvs,2024-03-18,2900.0
